DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,Deep,Training Time
40,9,1,0.5976331360946746,0.9055823569951758,0.42436974789915966,0.9507959479015919,0.4963144963144963,0.9276385457112603,238,1382,1314,68,137,101,0.8734567901234568,32,15818.24990606308
40,7,1,0.6835443037974683,0.9124487004103967,0.4576271186440678,0.9638728323699421,0.5482233502538071,0.9374560787069571,236,1384,1334,50,128,108,0.8901234567901235,29,31631.29749059677
40,5,1,0.6339869281045751,0.8991138377641446,0.39591836734693875,0.9592727272727273,0.4874371859296483,0.9282195636875441,245,1375,1319,56,148,97,0.8740740740740741,39,40787.020208358765
40,9,2,0.6647398843930635,0.9156876295784382,0.48523206751054854,0.958062183658713,0.5609756097560976,0.9363957597173146,237,1383,1325,58,122,115,0.8888888888888888,33,28762.874037504196
40,3,1,0.717948717948718,0.9187158469945356,0.48484848484848486,0.9683225341972642,0.5788113695090439,0.9428671573781984,231,1389,1345,44,119,112,0.8993827160493827,39,49832.36168932915
40,7,2,0.6257309941520468,0.911663216011042,0.4553191489361702,0.9537906137184116,0.5270935960591133,0.9322512350035286,235,1385,1321,64,128,107,0.8814814814814815,34,20358.00935292244
40,3,2,0.5904255319148937,0.914804469273743,0.47639484978540775,0.9444844989185291,0.5273159144893111,0.9294075913444484,233,1387,1310,77,122,111,0.8771604938271605,39,24761.720115423203
40,9,3,0.7981651376146789,0.899404367968233,0.36401673640167365,0.9840695148443157,0.5,0.9398340248962656,239,1381,1359,22,152,87,0.8925925925925926,37,50003.80419445038
40,7,3,0.6645962732919255,0.9115832762165867,0.4533898305084746,0.9609826589595376,0.5390428211586903,0.9356313753077735,236,1384,1330,54,129,107,0.8870370370370371,31,62914.592948675156
40,3,3,0.5853658536585366,0.8990384615384616,0.3950617283950617,0.9506172839506173,0.4717444717444717,0.9241087186727851,243,1377,1309,68,147,96,0.8672839506172839,37,45078.9355969429
40,9,4,0.657608695652174,0.9178272980501393,0.5062761506276151,0.9543808834178131,0.5721040189125296,0.9357472488462905,239,1381,1318,63,118,121,0.8882716049382716,31,25430.025008916855
40,9,5,0.6623376623376623,0.907912687585266,0.43037974683544306,0.9624005784526392,0.5217391304347826,0.9343629343629343,237,1383,1331,52,135,102,0.8845679012345679,34,15580.431164503098
40,7,4,0.7482014388489209,0.9054692775151925,0.4262295081967213,0.9745639534883721,0.5430809399477806,0.9387469373468673,244,1376,1341,35,140,104,0.8919753086419753,33,25959.885002613068
40,5,2,0.7573529411764706,0.9097035040431267,0.4345991561181435,0.9761388286334056,0.5522788203753352,0.9417509591907918,237,1383,1350,33,134,103,0.8969135802469136,40,107201.09390091896
40,9,6,0.7450980392156863,0.9147920927062031,0.4769874476987448,0.9717595944967415,0.5816326530612245,0.9424157303370787,239,1381,1342,39,125,114,0.8987654320987655,34,31945.658538103104
40,7,5,0.5688622754491018,0.9008947006194081,0.39748953974895396,0.9478638667632151,0.46798029556650245,0.9237826393789698,239,1381,1309,72,144,95,0.8666666666666667,35,32385.728693008423
