Altura Maxima,K,#Execucao,Precision_S,Precision_NS,Recall_S,Recall_NS,Fscore_S,Fscore_NS,Support_S,Support_NS,Acc (Melhor),Altura (Melhor),Tempo Execucao
20,3,1,0.8791666666666667,20,115141.80150556564
20,3,7,0.8875,20,137737.73847270012
20,3,16,0.875462962963,17,93212.43305587769
3,3,16,0.336448598131,0.312138728324,2,4.973509073257446
3,3,17,0.340909090909,0.260869565217,3,4.9237987995147705
3,3,18,0.332247557003,0.293948126801,2,4.76071834564209
3,3,19,0.342857142857,0.276657060519,2,5.233443975448608
3,3,20,0.342857142857,0.276657060519,2,5.196537494659424
3,3,21,0.342857142857,0.276657060519,2,5.1027843952178955
3,3,22,0.342857142857,0.276657060519,2,4.929682493209839
3,3,23,0.342857142857,0.276657060519,2,4.880679130554199
3,3,24,0.342857142857,0.276657060519,2,4.935371160507202
3,3,25,0.342857142857,0.276657060519,2,5.06692099571228
3,3,26,0.342857142857,0.276657060519,2,5.002239227294922
3,3,27,0.342857142857,0.276657060519,2,5.025048494338989
3,3,28,0.342857142857,0.276657060519,2,4.905662536621094
3,3,29,0.342857142857,0.276657060519,2,5.007938623428345
3,3,30,0.342857142857,0.276657060519,2,4.904728412628174
10,3,16,0.7088607594936709,0.32748538011695905,10,50953.554406642914
