balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
1,10,nb,5,-,1,0.17194570135746606,0.9985272459499264,0.9743589743589743,0.7874564459930313,0.2923076923076923,0.8805194805194805,39,861,678,183,1,38,0.7955555555555556,0.8809077101760028,10,6721.718767881393
0,10,knn,5,-,1,0.6470588235294118,0.9682899207248018,0.28205128205128205,0.9930313588850174,0.3928571428571429,0.9805045871559633,39,861,855,6,28,11,0.9622222222222222,0.6375413204681496,10,15095.61372089386
1,10,nb,5,-,2,0.21176470588235294,0.9849315068493151,0.7659574468085106,0.8429073856975381,0.3317972350230414,0.9084017687934302,47,853,719,134,11,36,0.8388888888888889,0.8044324162530243,10,13714.098901987076
1,10,dt,5,-,1,0.3380281690140845,0.9819059107358263,0.6153846153846154,0.9454123112659698,0.43636363636363634,0.9633136094674556,39,861,814,47,15,24,0.9311111111111111,0.7803984633252926,10,24307.30432677269
1,10,mlp,15,relu,1,0.3333333333333333,0.9625850340136054,0.15384615384615385,0.9860627177700348,0.21052631578947367,0.9741824440619622,39,861,849,12,33,6,0.95,0.5699544358080942,10,25409.08689570427
1,10,nb,5,-,3,0.3333333333333333,1.0,1.0,0.9888268156424581,0.5,0.9943820224719102,5,895,885,10,0,5,0.9888888888888889,0.9944134078212291,8,7651.02268910408
0,10,knn,5,-,2,0.6153846153846154,0.9645308924485125,0.3404255319148936,0.9882766705744431,0.4383561643835616,0.9762594093804284,47,853,843,10,31,16,0.9544444444444444,0.6643511012446683,10,19360.429483890533
1,10,nb,5,-,4,0.125,0.9976303317535545,0.7777777777777778,0.9450056116722784,0.2153846153846154,0.9706051873198847,9,891,842,49,2,7,0.9433333333333334,0.8613916947250281,10,8856.619764089584
0,10,knn,5,-,3,1.0,0.9988839285714286,0.8,1.0,0.888888888888889,0.9994416527079844,5,895,895,0,1,4,0.9988888888888889,0.9,10,9711.541799783707
1,10,dt,5,-,2,0.18181818181818182,0.9792817679558011,0.6808510638297872,0.8311840562719812,0.2869955156950673,0.8991756499682942,47,853,709,144,15,32,0.8233333333333334,0.7560175600508843,10,20480.176367282867
1,10,svm,5,rbf,1,1.0,0.9587973273942093,0.05128205128205128,1.0,0.09756097560975609,0.9789653212052303,39,861,861,0,37,2,0.9588888888888889,0.5256410256410257,10,46901.25662899017
0,10,knn,5,-,4,0.6666666666666666,0.9944071588366891,0.4444444444444444,0.9977553310886644,0.5333333333333333,0.996078431372549,9,891,889,2,5,4,0.9922222222222222,0.7210998877665544,10,12600.270640134811
1,10,dt,5,-,3,0.21052631578947367,0.9988649262202043,0.8,0.9832402234636871,0.3333333333333333,0.9909909909909911,5,895,880,15,1,4,0.9822222222222222,0.8916201117318435,10,18167.9669816494
