balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,10,knn,5,-,5,0.875,0.9484304932735426,0.1320754716981132,0.9988193624557261,0.22950819672131148,0.972972972972973,53,847,846,1,46,7,0.9477777777777778,0.5654474170769197,10,9421.333142518997
0,10,nb,5,-,5,0.35398230088495575,0.9834815756035579,0.7547169811320755,0.9138134592680047,0.48192771084337355,0.9473684210526315,53,847,774,73,13,40,0.9044444444444445,0.8342652202000401,10,12765.935169935226
0,10,kmeans,2,-,5,0.0151515151515,0.758620689655,0.207547169811,0.155844155844,0.0282413350449,0.258570029383,53,847,132,715,42,11,0.158888888889,0.818304337172,10,17952.705501556396
0,10,dt,5,-,5,0.625,0.95662100456621,0.2830188679245283,0.9893742621015348,0.38961038961038963,0.9727219965177017,53,847,838,9,38,15,0.9477777777777778,0.6361965650130315,10,20771.774766921997
0,10,nb,5,-,6,0.25728155339805825,0.9942363112391931,0.9298245614035088,0.8185053380782918,0.4030418250950571,0.8978529603122967,57,843,690,153,4,53,0.8255555555555556,0.8741649497409003,10,11033.447313547134
0,10,knn,5,-,6,1.0,0.9461279461279462,0.15789473684210525,1.0,0.2727272727272727,0.972318339100346,57,843,843,0,48,9,0.9466666666666667,0.5789473684210527,10,16016.086629867554
0,10,kmeans,2,-,6,0.217213114754,0.993902439024,0.929824561404,0.773428232503,0.352159468439,0.869913275517,57,843,652,191,4,53,0.783333333333,0.851626396953,10,14082.739496469498
0,10,nb,5,-,7,0.08370044052863436,0.9955423476968797,0.8636363636363636,0.7630979498861048,0.15261044176706828,0.8639587362991619,22,878,670,208,3,19,0.7655555555555555,0.8133671567612343,10,10988.108609199524
0,10,knn,5,-,7,0.6363636363636364,0.983127109111361,0.3181818181818182,0.9954441913439636,0.4242424242424242,0.989247311827957,22,878,874,4,15,7,0.9788888888888889,0.6568130047628908,10,10096.776778697968
0,10,mlp,15,relu,5,0.153846153846,0.942502818489,0.0377358490566,0.987012987013,0.0606060606061,0.964244521338,53,847,836,11,51,2,0.931111111111,0.512374418035,9,37898.057045936584
0,10,dt,5,-,6,0.36486486486486486,0.9636803874092009,0.47368421052631576,0.9442467378410438,0.4122137404580153,0.9538645895745955,57,843,796,47,30,27,0.9144444444444444,0.7089654741836798,10,17966.618129968643
0,10,svm,5,rbf,5,1.0,0.9442586399108138,0.05660377358490566,1.0,0.10714285714285715,0.9713302752293579,53,847,847,0,50,3,0.9444444444444444,0.5283018867924528,10,49231.53476476669
0,10,kmeans,2,-,7,0.0734693877551,0.993893129771,0.818181818182,0.74145785877,0.134831460674,0.849315068493,22,878,651,227,4,18,0.743333333333,0.779819838476,8,17336.494558095932
